STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y,WKT
OPEN,NORTH TIKOTATAHI HUNTERS HUT,Buildings,Basic Hut/bivvy,168.152285511,-47.084797546,POINT (168.152285510951799 -47.084797546042168)
OPEN,Hapuku Hut,Buildings,Standard Hut,173.651523771,-42.272429839,POINT (173.651523770762992 -42.272429839020766)
OPEN,Burn Creek Hut,Buildings,Basic Hut/bivvy,172.449249254,-42.1565067458,POINT (172.449249253586714 -42.15650674581493)
OPEN,Roaring Stag Hut,Buildings,Standard Hut,175.524563326,-40.730648845,POINT (175.524563325874141 -40.730648844979086)
OPEN,John Coull Hut,Buildings,Great Walk Hut,174.913639623,-39.2333312683,POINT (174.913639622546413 -39.233331268325387)
OPEN,FENELLA HUT,Buildings,Serviced Hut,172.52519422,-41.049611411,POINT (172.525194219665963 -41.049611411014197)
OPEN,Carrington Hut,Buildings,Serviced Hut,171.448151784,-42.9598725006,POINT (171.448151784169767 -42.959872500587771)
OPEN,Te Pourewa Hut,Buildings,Standard Hut,177.108342878,-38.420649075,POINT (177.108342877895581 -38.420649075027733)
OPEN,Peach Cove Hut,Buildings,Serviced Hut,174.566218468,-35.8572953354,POINT (174.566218467516308 -35.857295335379249)
OPEN,Gorge River Hut,Buildings,Standard Hut,168.194052114,-44.1838422315,POINT (168.19405211375701 -44.183842231506127)
OPEN,Mid Waiohine Hut,Buildings,Standard Hut,175.38171762,-40.8741568895,POINT (175.381717619585572 -40.874156889530809)
OPEN,West Sabine Hut,Buildings,Serviced Hut,172.683769215,-42.0085240223,POINT (172.683769215262998 -42.008524022347373)
OPEN,Mangakirikiri Hut,Buildings,Standard Hut,177.678110145,-38.0131938027,POINT (177.67811014495436 -38.01319380274775)
OPEN,Monument Hut,Buildings,Standard Hut,169.812212647,-44.0236827652,POINT (169.812212646681701 -44.023682765183992)
OPEN,Zoo Hut,Buildings,Standard Hut,173.925995586,-41.9234176615,POINT (173.925995585808778 -41.923417661513824)
OPEN,Brass Monkey Bivvy,Buildings,Basic Hut/bivvy,172.316166875,-42.4195719087,POINT (172.316166875028898 -42.419571908726567)
OPEN,Waikiti Hut,Buildings,Basic Hut/bivvy,171.853950994,-42.6144671643,POINT (171.853950993588114 -42.614467164256133)
OPEN,Kelman Hut,Buildings,Serviced-Alpine Hut,170.360578928,-43.5185219157,POINT (170.360578928148158 -43.518521915672842)
OPEN,Manuoha Hut,Buildings,Standard Hut,177.120790108,-38.656055048,POINT (177.120790107736553 -38.65605504803802)
OPEN,Unknown Stream Hut,Buildings,Basic Hut/bivvy,171.273478223,-43.065869139,POINT (171.273478223261066 -43.065869138961645)
OPEN,A Frame Hut,Buildings,Basic Hut/bivvy,171.370341625,-43.3829067324,POINT (171.370341624518943 -43.382906732404948)
OPEN,Ant Stream Bivvy,Buildings,Basic Hut/bivvy,172.096158771,-42.867452778,POINT (172.096158770546339 -42.867452777984134)
OPEN,Coppermine Creek Hut,Buildings,Standard Hut,169.167801306,-43.822562155,POINT (169.167801305688215 -43.822562154986848)
OPEN,Royal Hut,Buildings,Basic Hut/bivvy,170.734162555,-43.7258745214,POINT (170.734162554735349 -43.725874521379865)
OPEN,Islands Hut,Buildings,Basic Hut/bivvy,168.290323149,-45.4684337934,POINT (168.290323149082582 -45.468433793426229)
